processo;arquivo;descricao;unidade;quantidade;valor_unitario;valor_total;vencedor;cnpj_vencedor
00038;7609.xlsx;LOCACAO DE PORTICO DE ENTRADA 10,00M X 3,00M P-30 Portico em estrutura de aluminio em Box Truss P-3 ;UN;150.0;1900.0;285000.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE PORTICO DE ENTRADA 5,00M X 3,00M P-30 - Portico em estrutura de aluminio em Box Truss P -;UN;150.0;1425.0;213750.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE PRATICAVEL ROSCO PANTOGRAFICO Fornecimento de locacao e servicos de montagem, m anutencao;UN;100.0;142.5;14250.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE SANITARIO PNE Sanitario quimico PNE. Cabine sanitaria quimica, individual e portatil, mod;UN;50.0;576.09;28804.5;Pilar Ecotec Ambiental Ltda;30.667.156/0001-91
00038;7609.xlsx;LOCACAO DE SANITARIO SUPERLUXO SANITARIO SUPERLUXO - Sanitario quimico Modelo Su perluxo, construido;UN;20.0;466.83;9336.6;Pilar Ecotec Ambiental Ltda;30.667.156/0001-91
00038;7609.xlsx;LOCACAO DE SANITARIOS STANDERS Sanitario Quimico Standard. Cabine Sanitaria Quim ica, Individual e P;UN;1450.0;302.94;439263.0;Pilar Ecotec Ambiental Ltda;30.667.156/0001-91
00038;7609.xlsx;LOCACAO DE SOM TIPO 1 SOM TIPO 1 Som Para shows de Grande Porte artista s com reconhecimento Naciona;DIA;80.0;13700.0;1096000.0;Expansom Promocoes e Eventos Ltda;67.181.578/0001-62
00038;7609.xlsx;LOCACAO DE SOM TIPO 2 SOM TIPO 2 Som para bandas de medio porte 04 Caix as acusticas de Subgrave 12 ;DIA;120.0;5700.0;684000.0;Expansom Promocoes e Eventos Ltda;67.181.578/0001-62
00038;7609.xlsx;LOCACAO DE SOM TIPO 3 Som para bandas de PEQUENO porte 06 caixas ativas compactas (line array) de no;DIA;40.0;2700.0;108000.0;Expansom Promocoes e Eventos Ltda;67.181.578/0001-62
00038;7609.xlsx;LOCACAO DE SOM TIPO 4 Som para bandas de PEQUENO porte 06 caixas ativas compactas (line array) de no;DIA;40.0;2700.0;108000.0;Expansom Promocoes e Eventos Ltda;67.181.578/0001-62
00038;7609.xlsx;LOCACAO DE STAND CONFECCIONADO EM OCTANORM com piso elevado e forracaoem piso easyfloor. As pecas de;M2;3300.0;66.5;219450.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE TABLADO ELEVADO - em estrutura metalica medindo no minimo 25 mt² com altura de no minimo ;M2;500.0;48.5;24250.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE TENDA 10X10 TENDA 10x10 em estrutura metalica, pintada na cor aluminio, com 2,50m de altu;UN;350.0;2380.0;833000.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE TENDA 3X3 TENDA 3x3 . em estrutura metalica, pintada na cor aluminio, com 2,50m de altura;UN;500.0;548.0;274000.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE TENDA 4X4 em estrutura metalica, pintada na cor aluminio, c om 2,50m de altura lateral em;UN;500.0;740.0;370000.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO DE TENDA 5X5 em estrutura metalica, pintada na cor aluminio, c om 2,50m de altura lateral em;UN;500.0;870.0;435000.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;LOCACAO PISO EASYFLOOR PLUS EM MODULOS MED.100X25 Peso de cada modulo: 2,2 kg. Espessura: 3,5. Arma ;M2;4000.0;33.25;133000.0;Hdf-locacao de Estruturas e Eventos Eirel;13.104.368/0001-41
00038;7609.xlsx;PRESTACAO DE SERVICOS Contratacao de empresa especializada para prestac ao de servicos de monitorame;UN;1.0;3540000.0;3540000.0;Datacity Servicos Ltda;02.679.522/0001-97
00038;7609.xlsx;VEICULO AUTOMOTOR TIPO PICK-UP porte leve, cabine simples, zero, na cor branca, motorizacao minima 1;UN;3.0;77999.0;233997.0;Nem Transp.e Turismo Com.e Util.magalhaes Epp;21.854.689/0001-91
