Nro Emenda;Data;Aplicação;Âmbito;Tipo;Destinação;Parlamentar;Descrição;Finalidade;Fundamento Legal;Orçado;Empenhado;Receita Recebida;Bancos Recebido
30/04/2026;8040121-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;RENATO RAMOS DE SOUZA;Compra de camisetas e material grafico pedagogico para cursinho preparatorio ETEC.;Compra de camisetas e material grafico pedagogico para cursinho preparatorio ETEC.;3642/2025;5000.0;4800.0;0.0;0.0;0
30/04/2026;8040122-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;RENATO RAMOS DE SOUZA;compra de uniforme para ginastica global.;compra de uniforme para ginastica global.;3642/2025;5000.0;0.0;0.0;0.0;0
30/04/2026;8040101-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;DAVID F DOS SANTOS JUNIOR;compra de uniforme para ginastica global.;compra de uniforme para ginastica global.;3642/2025;5000.0;0.0;0.0;0.0;0
30/04/2026;8040103-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;DAVID F DOS SANTOS JUNIOR;matutencao entidade beneficiaria INSTITUTO SOCIAL HORIZONTES DO SABER CNPJ numero 02.082.848/0001-32.;Manutencao entidade beneficiaria Instituto Social Horizontes do Saber CNPJ numero 02.082.848/0001-32.;3642/2025;10000.0;0.0;0.0;0.0;0
30/04/2026;8040126-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;RENATO RAMOS DE SOUZA;Contratacao de atracoes para o dia da juventude catolica.;Contratacao de atracoes para o dia da juventude catolica.;3.642/2025;24000.0;0.0;0.0;0.0;0
30/04/2026;8040105-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;DAVID F DOS SANTOS JUNIOR;Programa de transferencia de recurso financeiro para a EMEB PREFEITO AANGELO CASTELLO.;PROGRAMA DE TRANSFERENCIA DE RECURSO FINANCEIRO PARA A EMEB PREFEITO AANGELO CASTELLO.;3642/2025;10000.0;0.0;0.0;0.0;0
30/04/2026;8040106-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;DAVID F DOS SANTOS JUNIOR;Contratacao de atracoes para o dia da juventude catolica.;contratacao de atracoes para o dia da juventude catolica.;3.642/2025;16000.0;0.0;0.0;0.0;0
30/04/2026;8040127-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;RENATO RAMOS DE SOUZA;PROGRAMA DE TRANSFERENCIA DE RECURSO FINANCEIRO PARA A EMEB ELVIO TEIXEIRA.;PROGRAMA DE TRANSFERENCIA DE RECURSO FINANCEIRO PARA A EMEB ELVIO TEIXEIRA.;3642/2025;10000.0;0.0;0.0;0.0;0
30/04/2026;8040108-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);CUSTEIO;DAVID F DOS SANTOS JUNIOR;compra de camisetas e material grafico pedagogico para cursinho preparatorio ETEC.;COMPRA DE CAMISETAS E MATERIAL GRAFICO PEDAGOGICO PARA CURSINHO PREPARATORIO ETEC.;3642/2025;10000.0;0.0;0.0;0.0;0
30/04/2026;8040003-Emenda Impositiva Loa/2026 Projeto de Lei 087/2025;MUNICIPAL;INDIVIDUAL (FINALIDADE DEFINIDA);INVESTIMENTO;CLAUDIO RAMOS MOREIRA;VALOR A SER DESTINADO PARA AQUISICAO DE EQUIPAMENTOS MOBILIARIOS MEDICO HOSPITALARES EM GERAL E ELETRODOMESTICOS PARA O CAPSS II.;VALOR A SER DESTINADO PARA AQUISICAO DE EQUIPAMENTOS MEDICOS HOSPITALARES EM GERAL E ELETRODOMESTICOS PARA O CAPS II.;3642/2025;84725.49;0.0;0.0;0.0;0
